"is_Other_Upper_Limb_Issues","is_Knee_Issues","is_Other_Issues","is_Leg_Issues","is_Foot_Issues","is_Other_Lower_Limb_Issues","is_Ankle_Issues","is_Back_Issues","age_at_injury","height_cm","weight_kg","career_before","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
1,0,0,0,0,0,0,0,28,218.44,102.06,5,260,31,41,99,0.414,20,41,0.488,94,12,73,102,0,363,6,44,50,8,19,24,0,0,0.6,41,99,0.414,0.414,259,1.3,3.2,0.414,0.6,1.3,0.488,3,0.4,2.4,3.3,11.7,8,1.4,1.6,0.3,0.6,0.8,0,0,0,1.3,3.2,0.414,0.414
0,1,0,0,0,0,0,0,24,198.12,81.65,0,180,75,182,368,0.495,63,86,0.733,156,80,154,427,0,1142,1,70,86,61,25,84,0,2,0,182,366,0.497,0.495,195,2.4,4.9,0.495,0.8,1.1,0.733,2.1,1.1,2.1,5.7,15.2,1,0.9,1.1,0.8,0.3,1.1,0,0,0,2.4,4.9,0.497,0.495
0,1,0,0,0,0,0,0,29,198.12,81.65,6,248,12,62,126,0.492,24,29,0.828,29,42,23,148,0,329,12,6,23,7,4,22,0,0,0.464,62,126,0.492,0.492,97,5.2,10.5,0.492,2,2.4,0.828,2.4,3.5,1.9,12.3,27.4,12,0.5,1.9,0.6,0.3,1.8,0,0,0.388,5.2,10.5,0.492,0.492
0,0,1,0,0,0,0,0,33,198.12,88.45,10,224,23,101,237,0.426,28,39,0.718,83,60,54,230,0,545,15,19,64,16,9,33,0,1,0,101,236,0.428,0.426,124,4.4,10.3,0.426,1.2,1.7,0.718,3.6,2.6,2.3,10,23.7,15,0.8,2.8,0.7,0.4,1.4,0,0,0,4.4,10.3,0.428,0.426
0,1,0,0,0,0,0,0,24,195.58,88.45,1,80,59,441,957,0.461,160,184,0.87,197,106,164,1044,0,1750,64,95,102,95,22,151,2,11,0.182,439,946,0.464,0.462,35,7.5,16.2,0.461,2.7,3.1,0.87,3.3,1.8,2.8,17.7,29.7,64,1.6,1.7,1.6,0.4,2.6,0,0.2,0.182,7.4,16,0.464,0.462
1,0,0,0,0,0,0,0,26,182.88,77.11,3,180,47,176,366,0.481,70,97,0.722,116,235,123,422,0,1307,32,30,86,75,1,83,0,1,0,176,365,0.482,0.481,136,3.7,7.8,0.481,1.5,2.1,0.722,2.5,5,2.6,9,27.8,31,0.6,1.8,1.6,0,1.8,0,0,0,3.7,7.8,0.482,0.481
1,0,0,0,0,0,0,0,27,195.58,81.65,4,291,6,19,44,0.432,0,0,1,11,21,14,39,0,139,2,3,8,2,0,9,1,9,0.111,18,35,0.514,0.443,181,3.2,7.3,0.432,0,0,1,1.8,3.5,2.3,6.5,23.2,2,0.5,1.3,0.3,0,1.5,0.2,1.5,0.111,3,5.8,0.514,0.443
0,1,0,0,0,0,0,0,23,198.12,99.79,0,27,58,565,1156,0.489,392,464,0.845,264,237,157,1536,0,2252,58,126,138,67,20,187,14,37,0.378,551,1119,0.492,0.495,4,9.7,19.9,0.489,6.8,8,0.845,4.6,4.1,2.7,26.5,38.8,58,2.2,2.4,1.2,0.3,3.2,0.2,0.6,0.378,9.5,19.3,0.492,0.495
0,1,0,0,0,0,0,0,27,208.28,106.59,4,81,75,405,802,0.505,127,158,0.804,653,159,214,940,0,2467,72,219,434,66,98,160,3,11,0.273,402,791,0.508,0.507,83,5.4,10.7,0.505,1.7,2.1,0.804,8.7,2.1,2.9,12.5,32.9,72,2.9,5.8,0.9,1.3,2.1,0,0.1,0.273,5.4,10.5,0.508,0.507
0,0,0,1,0,0,0,0,30,193.04,83.91,7,148,57,255,587,0.434,73,85,0.859,110,156,132,605,0,1361,12,35,75,45,4,81,22,68,0.324,233,519,0.449,0.453,110,4.5,10.3,0.434,1.3,1.5,0.859,1.9,2.7,2.3,10.6,23.9,12,0.6,1.3,0.8,0.1,1.4,0.4,1.2,0.324,4.1,9.1,0.449,0.453
0,0,0,0,1,0,0,0,23,185.42,83.01,1,152,47,209,460,0.454,169,213,0.793,117,293,139,587,0,1298,36,34,83,101,5,131,0,1,0,209,459,0.455,0.454,86,4.4,9.8,0.454,3.6,4.5,0.793,2.5,6.2,3,12.5,27.6,36,0.7,1.8,2.1,0.1,2.8,0,0,0,4.4,9.8,0.455,0.454
0,1,0,0,0,0,0,0,26,200.66,86.18,1,267,34,33,83,0.398,29,43,0.674,44,22,35,95,0,292,1,25,19,10,1,25,0,1,0,33,82,0.402,0.398,282,1,2.4,0.398,0.9,1.3,0.674,1.3,0.6,1,2.8,8.6,1,0.7,0.6,0.3,0,0.7,0,0,0,1,2.4,0.402,0.398
0,1,0,0,0,0,0,0,28,208.28,106.59,5,237,21,85,182,0.467,38,50,0.76,155,49,61,208,0,599,15,53,102,14,17,35,0,1,0,85,181,0.47,0.467,122,4,8.7,0.467,1.8,2.4,0.76,7.4,2.3,2.9,9.9,28.5,15,2.5,4.9,0.7,0.8,1.7,0,0,0,4,8.6,0.47,0.467
0,0,1,0,0,0,0,0,22,195.58,81.65,0,268,31,37,102,0.363,21,32,0.656,36,41,54,95,0,321,0,19,17,20,2,30,0,0,1,37,102,0.363,0.363,277,1.2,3.3,0.363,0.7,1,0.656,1.2,1.3,1.7,3.1,10.4,0,0.6,0.5,0.6,0.1,1,0,0,1,1.2,3.3,0.363,0.363
0,1,0,0,0,0,0,0,23,205.74,97.52,1,83,57,361,622,0.58,217,340,0.638,298,97,177,939,0,1627,38,122,176,38,44,157,0,3,0,361,619,0.583,0.58,52,6.3,10.9,0.58,3.8,6,0.638,5.2,1.7,3.1,16.5,28.5,38,2.1,3.1,0.7,0.8,2.8,0,0.1,0,6.3,10.9,0.583,0.58
0,1,0,0,0,0,0,0,24,205.74,97.52,1,260,43,50,100,0.5,17,25,0.68,61,20,75,117,0,327,0,27,34,22,11,21,0,1,0,50,99,0.505,0.5,267,1.2,2.3,0.5,0.4,0.6,0.68,1.4,0.5,1.7,2.7,7.6,0,0.6,0.8,0.5,0.3,0.5,0,0,0,1.2,2.3,0.505,0.5
1,0,0,0,0,0,0,0,28,193.04,81.65,4,183,13,27,58,0.466,11,17,0.647,13,6,10,65,0,210,3,5,8,6,5,7,0,1,0,27,57,0.474,0.466,154,2.1,4.5,0.466,0.8,1.3,0.647,1,0.5,0.8,5,16.2,3,0.4,0.6,0.5,0.4,0.5,0,0.1,0,2.1,4.4,0.474,0.466
0,0,0,0,1,0,0,0,35,172.72,74.84,5,281,6,11,30,0.367,7,11,0.636,9,17,7,30,0,107,0,2,7,5,0,4,1,6,0.167,10,24,0.417,0.383,245,1.8,5,0.367,1.2,1.8,0.636,1.5,2.8,1.2,5,17.8,0,0.3,1.2,0.8,0,0.7,0.2,1,0.167,1.7,4,0.417,0.383
1,0,0,0,0,0,0,0,27,213.36,102.06,5,207,16,55,113,0.487,31,47,0.66,59,27,49,141,0,285,1,19,40,5,5,19,0,0,0,55,113,0.487,0.487,111,3.4,7.1,0.487,1.9,2.9,0.66,3.7,1.7,3.1,8.8,17.8,1,1.2,2.5,0.3,0.3,1.2,0,0,0,3.4,7.1,0.487,0.487
1,0,0,0,0,0,0,0,28,193.04,81.65,4,183,13,27,58,0.466,11,17,0.647,13,6,10,65,0,210,3,5,8,6,5,7,0,1,0,27,57,0.474,0.466,154,2.1,4.5,0.466,0.8,1.3,0.647,1,0.5,0.8,5,16.2,3,0.4,0.6,0.5,0.4,0.5,0,0.1,0,2.1,4.4,0.474,0.466
1,0,0,0,0,0,0,0,24,185.42,83.01,2,124,68,251,561,0.447,194,246,0.789,127,395,179,696,0,1893,60,49,78,107,6,149,0,3,0,251,558,0.45,0.447,115,3.7,8.3,0.447,2.9,3.6,0.789,1.9,5.8,2.6,10.2,27.8,60,0.7,1.1,1.6,0.1,2.2,0,0,0,3.7,8.2,0.45,0.447
1,0,0,0,0,0,0,0,25,185.42,79.38,3,151,59,231,518,0.446,105,139,0.755,178,566,168,595,0,1650,42,37,141,123,20,143,28,87,0.322,203,431,0.471,0.473,118,3.9,8.8,0.446,1.8,2.4,0.755,3,9.6,2.8,10.1,28,42,0.6,2.4,2.1,0.3,2.4,0.5,1.5,0.322,3.4,7.3,0.471,0.473
0,0,0,0,0,1,0,0,24,200.66,104.33,2,255,38,44,82,0.537,36,50,0.72,61,30,55,124,0,363,0,16,45,12,4,34,0,2,0,44,80,0.55,0.537,250,1.2,2.2,0.537,0.9,1.3,0.72,1.6,0.8,1.4,3.3,9.6,0,0.4,1.2,0.3,0.1,0.9,0,0.1,0,1.2,2.1,0.55,0.537
0,0,0,1,0,0,0,0,33,193.04,88.45,11,184,59,144,313,0.46,117,142,0.824,43,148,69,412,0,865,2,8,35,41,6,77,7,26,0.269,137,287,0.477,0.471,175,2.4,5.3,0.46,2,2.4,0.824,0.7,2.5,1.2,7,14.7,2,0.1,0.6,0.7,0.1,1.3,0.1,0.4,0.269,2.3,4.9,0.477,0.471
0,1,0,0,0,0,0,0,22,208.28,97.52,0,244,45,64,112,0.571,38,91,0.418,82,22,58,166,0,354,0,35,47,12,7,19,0,0,0.5,64,112,0.571,0.571,237,1.4,2.5,0.571,0.8,2,0.418,1.8,0.5,1.3,3.7,7.9,0,0.8,1,0.3,0.2,0.4,0,0,0.313,1.4,2.5,0.571,0.571
0,0,0,0,0,0,1,0,23,203.2,97.52,0,283,28,21,58,0.362,6,10,0.6,33,29,31,48,0,196,3,9,24,9,2,19,0,0,0.5,21,58,0.362,0.362,297,0.8,2.1,0.362,0.2,0.4,0.6,1.2,1,1.1,1.7,7,3,0.3,0.9,0.3,0.1,0.7,0,0,0.4,0.8,2.1,0.362,0.362
0,1,0,0,0,0,0,0,27,193.04,79.38,2,277,25,20,50,0.4,14,22,0.636,12,14,24,55,0,176,0,6,6,8,2,12,1,1,1,19,49,0.388,0.41,279,0.8,2,0.4,0.6,0.9,0.636,0.5,0.6,1,2.2,7,0,0.2,0.2,0.3,0.1,0.5,0,0,1,0.8,2,0.388,0.41
0,0,0,0,0,0,1,0,26,208.28,109.77,2,44,75,575,1211,0.475,224,341,0.657,634,252,218,1375,0,2557,70,154,480,54,134,265,1,9,0.111,574,1202,0.478,0.475,42,7.7,16.1,0.475,3,4.5,0.657,8.5,3.4,2.9,18.3,34.1,70,2.1,6.4,0.7,1.8,3.5,0,0.1,0.111,7.7,16,0.478,0.475
