"Variable","Dataset","Logistic_Accuracy","Logistic_Recall","Logistic_Precision","Logistic_AUC","Logistic_Kappa","Ridge_Accuracy","Ridge_Recall","Ridge_Precision","Ridge_AUC","Ridge_Kappa","Lasso_Accuracy","Lasso_Recall","Lasso_Precision","Lasso_AUC","Lasso_Kappa","RF_Accuracy","RF_Recall","RF_Precision","RF_Kappa","BART_Accuracy","BART_Recall","BART_Precision","BART_Kappa","SVM_Accuracy","SVM_Recall","SVM_Precision","SVM_Kappa","XGB_Accuracy","XGB_Recall","XGB_Precision","XGB_Kappa"
"is_Other_Upper_Limb_Issues","Location_Binary",0.871323529411765,1,0.871323529411765,0.532415779251224,0,0.871323529411765,1,0.871323529411765,0.543232201460048,0,0.871323529411765,1,0.871323529411765,0.541547786484494,0,0.874387254901961,0.979606188466948,0.887826641172721,0.201672250379406,0.871323529411765,1,0.871323529411765,0,0.874387254901961,0.99789029535865,0.875385564466379,0.0603619695999457,0.871323529411765,0.978902953586498,0.885496183206107,0.175043327556326
"is_Knee_Issues","Location_Binary",0.748161764705882,0.983726606997559,0.755625,0.569367861462141,0.0195518967210818,0.751838235294118,0.998372660699756,0.752760736196319,0.57059139448441,-0.00244483944745391,0.752450980392157,0.998372660699756,0.753222836095764,0.574403325748505,0.00128148033700195,0.776348039215686,0.937347436940602,0.8,0.270257556156651,0.753676470588235,0.994304312449146,0.755720470006184,0.0209256722271472,0.753063725490196,0.992676973148902,0.755885997521685,0.0221064463753637,0.747549019607843,0.901545972335232,0.791994281629736,0.209103291874178
"is_Other_Issues","Location_Binary",0.963848039215686,0.998096446700508,0.965623081645181,0.625770485859318,-0.00350175087543562,0.965686274509804,1,0.965686274509804,0.613918600435098,0,0.965686274509804,1,0.965686274509804,0.614819389050038,0,0.958333333333333,0.991116751269036,0.966584158415842,0.0409292035398252,0.965686274509804,1,0.965686274509804,0,0.965686274509804,1,0.965686274509804,0,0.958333333333333,0.991116751269036,0.966584158415842,0.0409292035398252
"is_Leg_Issues","Location_Binary",0.894607843137255,0.998632010943912,0.895705521472393,0.538287599581558,-0.00242836328314636,0.895833333333333,1,0.895833333333333,0.546004667256782,0,0.895833333333333,1,0.895833333333333,0.557749255653015,0,0.884191176470588,0.970588235294118,0.906709265175719,0.152624696431906,0.895833333333333,1,0.895833333333333,0,0.895833333333333,0.999316005471956,0.896319018404908,0.00922778047595996,0.885416666666667,0.97469220246238,0.904761904761905,0.130737943056362
"is_Foot_Issues","Location_Binary",0.894607843137255,0.998631074606434,0.895641497851443,0.520571906608867,0.00790974828763559,0.895220588235294,1,0.895220588235294,0.536970992390855,0,0.895220588235294,1,0.895220588235294,0.542870980783011,0,0.89093137254902,0.982203969883641,0.904221802142407,0.13830601384662,0.895220588235294,1,0.895220588235294,0,0.897058823529412,1,0.896869244935543,0.0309816146065277,0.891544117647059,0.983572895277207,0.90377358490566,0.133196499945987
"is_Other_Lower_Limb_Issues","Location_Binary",0.911151960784314,0.998656816655473,0.912269938650307,0.552200989071369,-0.00242303065218384,0.912377450980392,1,0.912377450980392,0.591735665274951,0,0.912377450980392,1,0.912377450980392,0.576138770564558,0,0.911151960784314,0.980523841504365,0.926395939086294,0.233559620666424,0.912377450980392,1,0.912377450980392,0,0.912377450980392,1,0.912377450980392,0,0.908700980392157,0.978509066487576,0.92566709021601,0.219224001746702
"is_Ankle_Issues","Location_Binary",0.818014705882353,0.997010463378176,0.819913952059004,0.570489256988296,0.000668002672010941,0.81985294117647,1,0.81985294117647,0.601785332967266,0,0.81985294117647,1,0.81985294117647,0.608941409149608,0,0.816176470588235,0.964125560538117,0.836575875486381,0.146693437068641,0.81985294117647,1,0.81985294117647,0,0.821078431372549,0.997010463378176,0.822441430332922,0.0279531991971414,0.799632352941177,0.942451420029895,0.834546657842488,0.119558116053929
"is_Back_Issues","Location_Binary",0.886029411764706,0.998617829993089,0.887047268262738,0.584719550234407,0.00704598535848198,0.886642156862745,1,0.886642156862745,0.580554362240611,0,0.886642156862745,1,0.886642156862745,0.584211509367003,0,0.885416666666667,0.97581202487906,0.902813299232737,0.212907751666082,0.886642156862745,1,0.886642156862745,0,0.886642156862745,1,0.886642156862745,0,0.88296568627451,0.972356599861783,0.903080872913992,0.211470549546177
"is_Fractures","Method_Binary",0.893333333333333,0.995044598612488,0.897229669347632,0.60157291275076,0.0063154175683428,0.896888888888889,1,0.896888888888889,0.592106387341513,0,0.896888888888889,1,0.896888888888889,0.590585591743275,0,0.895111111111111,0.98810703666997,0.903898458748867,0.115860562385945,0.896888888888889,1,0.896888888888889,0,0.897777777777778,0.999008919722498,0.898395721925134,0.0285630617439702,0.888888888888889,0.978196233894945,0.905504587155963,0.130629655961175
"is_Sprains","Method_Binary",0.691555555555556,0.958121827411167,0.706267539756782,0.612897091385621,0.0346356530104035,0.698666666666667,0.991116751269036,0.701707097933513,0.608107141243279,0.00822287582209291,0.699555555555556,0.998730964467005,0.70017793594306,0.600649203934386,-0.00177566547937685,0.683555555555556,0.895939086294416,0.720408163265306,0.0990281652119141,0.691555555555556,0.970812182741117,0.702479338842975,0.0126112590771473,0.703111111111111,0.99492385786802,0.703770197486535,0.0217034726597687,0.665777777777778,0.838832487309645,0.726373626373626,0.111512529143649
