"Variable","Dataset","Logistic_Accuracy","Logistic_Recall","Logistic_Precision","Logistic_AUC","Logistic_Kappa","Ridge_Accuracy","Ridge_Recall","Ridge_Precision","Ridge_AUC","Ridge_Kappa","Lasso_Accuracy","Lasso_Recall","Lasso_Precision","Lasso_AUC","Lasso_Kappa","RF_Accuracy","RF_Recall","RF_Precision","RF_Kappa","BART_Accuracy","BART_Recall","BART_Precision","BART_Kappa","SVM_Accuracy","SVM_Recall","SVM_Precision","SVM_Kappa","XGB_Accuracy","XGB_Recall","XGB_Precision","XGB_Kappa"
"is_Other_Upper_Limb_Issues","Location_Binary",0.871323529411765,1,0.871323529411765,0.548543299176211,0,0.871323529411765,1,0.871323529411765,0.553613287790504,0,0.871323529411765,1,0.871323529411765,0.552789498359118,0,0.874387254901961,0.980309423347398,0.887332908975175,0.197027735376285,0.871323529411765,1,0.871323529411765,0,0.872549019607843,1,0.87239263803681,0.0164800778805373,0.871936274509804,0.981012658227848,0.884590995561192,0.166818115198593
"is_Knee_Issues","Location_Binary",0.751838235294118,0.997558991049634,0.753071253071253,0.568669276601246,6.05143721629478e-05,0.751838235294118,0.998372660699756,0.752760736196319,0.572810309981891,-0.00244483944745391,0.752450980392157,0.999186330349878,0.752912323727774,0.577320826106884,-0.00122395303421939,0.780024509803922,0.938161106590724,0.802924791086351,0.285146755946861,0.756127450980392,0.99593165174939,0.7569573283859,0.0306677053393149,0.753063725490196,0.99186330349878,0.756203473945409,0.0245025333127658,0.761642156862745,0.921887713588283,0.7945301542777,0.23313829041906
"is_Other_Issues","Location_Binary",0.965686274509804,1,0.965686274509804,0.627674039158812,0,0.965686274509804,1,0.965686274509804,0.628580493110951,0,0.965686274509804,1,0.965686274509804,0.629543600435096,0,0.96078431372549,0.99238578680203,0.967821782178218,0.0973451327433648,0.965686274509804,1,0.965686274509804,0,0.966299019607843,1,0.966278356836297,0.0339245737902517,0.959558823529412,0.99238578680203,0.966625463535229,0.0440215847770514
"is_Leg_Issues","Location_Binary",0.895833333333333,1,0.895833333333333,0.561221533757141,0,0.895833333333333,1,0.895833333333333,0.560935865454255,0,0.895833333333333,1,0.895833333333333,0.561664118451758,0,0.884803921568627,0.970588235294118,0.907289002557545,0.160089352196574,0.895833333333333,1,0.895833333333333,0,0.894607843137255,0.998632010943912,0.895705521472393,-0.00242836328314636,0.888480392156863,0.980848153214774,0.903022670025189,0.111472742066721
"is_Foot_Issues","Location_Binary",0.895220588235294,1,0.895220588235294,0.530710760474078,0,0.895220588235294,1,0.895220588235294,0.526684038409964,0,0.895220588235294,1,0.895220588235294,0.536502675808847,0,0.89031862745098,0.982203969883641,0.903652392947103,0.130136496819838,0.895220588235294,1,0.895220588235294,0,0.895833333333333,1,0.895769466584917,0.0104222398185205,0.889093137254902,0.983572895277207,0.901505646173149,0.0996671665264622
"is_Other_Lower_Limb_Issues","Location_Binary",0.912377450980392,1,0.912377450980392,0.571663058231221,0,0.912377450980392,1,0.912377450980392,0.573039116692575,0,0.912377450980392,1,0.912377450980392,0.5750022308115,0,0.909926470588235,0.977837474815312,0.927388535031847,0.242794197482545,0.912377450980392,1,0.912377450980392,0,0.912377450980392,1,0.912377450980392,0,0.911764705882353,0.986568166554735,0.922159447583176,0.177920033581698
"is_Ankle_Issues","Location_Binary",0.81985294117647,1,0.81985294117647,0.594288612305911,0,0.81985294117647,1,0.81985294117647,0.599271173342283,0,0.81985294117647,1,0.81985294117647,0.594982611878832,0,0.813112745098039,0.958893871449925,0.836921069797782,0.146449369302632,0.81985294117647,1,0.81985294117647,0,0.82046568627451,0.999252615844544,0.820748925721301,0.00986457945086285,0.808210784313726,0.960388639760837,0.831715210355987,0.104830399764473
"is_Back_Issues","Location_Binary",0.886642156862745,1,0.886642156862745,0.554778759409029,0,0.886642156862745,1,0.886642156862745,0.562313453743999,0,0.886642156862745,1,0.886642156862745,0.563777806832401,0,0.885416666666667,0.976503109882516,0.902298850574713,0.207750537366437,0.886642156862745,1,0.886642156862745,0,0.885416666666667,0.998617829993089,0.886503067484663,-0.0024306604827158,0.884803921568627,0.979267449896337,0.89968253968254,0.179315989664415
"is_Fractures","Method_Binary",0.897777777777778,1,0.897686832740214,0.587902839957624,0.015358504638756,0.896888888888889,1,0.896888888888889,0.582007621065584,0,0.896888888888889,1,0.896888888888889,0.580580807217801,0,0.895111111111111,0.987115956392468,0.904632152588556,0.126253850406761,0.896888888888889,1,0.896888888888889,0,0.897777777777778,0.999008919722498,0.898395721925134,0.0285630617439702,0.889777777777778,0.98017839444995,0.904849039341263,0.123060675400439
"is_Sprains","Method_Binary",0.695111111111111,0.982233502538071,0.701722574796011,0.590510099564688,0.00815325654740962,0.696,0.993654822335025,0.699107142857143,0.590980810073958,-0.00883633121820761,0.697777777777778,0.996192893401015,0.699643493761141,0.591828088990646,-0.00531436771639843,0.670222222222222,0.880710659898477,0.714727085478888,0.0695618831911436,0.686222222222222,0.967005076142132,0.699724517906336,-0.00446174508866596,0.700444444444444,0.998730964467005,0.70080142475512,0.0023735155659995,0.663111111111111,0.842639593908629,0.722524483133841,0.0967224610248054
"is_Other","Method_Binary",0.981333333333333,1,0.981333333333333,0.473624051069703,0,0.981333333333333,1,0.981333333333333,0.475349378881988,0,0.981333333333333,1,0.981333333333333,0.492688923395447,0,0.978666666666667,0.996376811594203,0.982142857142857,0.0702479338843026,0.981333333333333,1,0.981333333333333,0,0.981333333333333,1,0.981333333333333,0,0.978666666666667,0.996376811594203,0.982142857142857,0.0702479338843026
"is_Strains","Method_Binary",0.778666666666667,0.998859749144812,0.779359430604982,0.536646650972889,-0.00177377882837613,0.779555555555556,1,0.779555555555556,0.54506059881561,0,0.779555555555556,1,0.779555555555556,0.549171019237134,0,0.777777777777778,0.948688711516534,0.802314368370299,0.158820644111595,0.779555555555556,1,0.779555555555556,0,0.780444444444444,1,0.780249110320285,0.00627259690518557,0.764444444444444,0.924743443557583,0.802970297029703,0.151450894445473
"is_Soreness","Method_Binary",0.770666666666667,0.989714285714286,0.776681614349776,0.59475885714286,-0.00956521739130396,0.776888888888889,0.998857142857143,0.777580071174377,0.599723428571429,-0.00177383592017704,0.774222222222222,0.995428571428571,0.776984834968778,0.59909257142857,-0.00704845814977936,0.776888888888889,0.938285714285714,0.806483300589391,0.188868940754039,0.775111111111111,0.993142857142857,0.778673835125448,0.00784313725490191,0.773333333333333,0.990857142857143,0.778276481149013,0.0043383947939259,0.768,0.916571428571429,0.81010101010101,0.196923076923077
"is_Inflammation","Method_Binary",0.980444444444444,0.999094202898551,0.981316725978648,0.570954106280194,-0.0016998542981948,0.981333333333333,1,0.981333333333333,0.690519323671498,0,0.981333333333333,1,0.981333333333333,0.718340234644582,0,0.979555555555556,0.997282608695652,0.982158786797502,0.0744715098186484,0.981333333333333,1,0.981333333333333,0,0.981333333333333,1,0.981333333333333,0,0.978666666666667,0.996376811594203,0.982142857142857,0.0702479338843026
"is_Overuse_Injuries","Method_Binary",0.902222222222222,0.996051332675222,0.904932735426009,0.752776406712734,0.0834012295385518,0.900444444444444,0.996051332675222,0.903312444046553,0.75243266111973,0.0541108642123601,0.900444444444444,0.996051332675222,0.903312444046553,0.74908334508532,0.0541108642123601,0.896888888888889,0.976307996051333,0.914893617021277,0.212165849653473,0.904,0.998025666337611,0.905102954341988,0.0878926190619185,0.900444444444444,0.995064165844028,0.904035874439462,0.0667357973483437,0.889777777777778,0.965449160908193,0.916588566073102,0.217426426864433
"is_Ligament_Tears","Method_Binary",0.982222222222222,1,0.982222222222222,0.685769230769236,0,0.982222222222222,1,0.982222222222222,0.707443438914034,0,0.982222222222222,1,0.982222222222222,0.701380090497748,0,0.982222222222222,0.999095022624434,0.983081032947462,0.0879610863396847,0.982222222222222,1,0.982222222222222,0,0.982222222222222,1,0.982222222222222,0,0.982222222222222,0.999095022624434,0.983081032947462,0.0879610863396847
