"birth_date","injury_date","Player_Name_Cleaned","age_at_injury","height_cm","weight_kg","Team","position","Injury_Method","Injury_Location","Other_Injury","career_before","career_after","career_all","Notes","injury_year","injury_month","injury_day","birth_year","birth_month","birth_day","year_start","year_end","Rk_Ttls","G","FG_Ttls","FGA_Ttls","FG._Ttls","FT_Ttls","FTA_Ttls","FT._Ttls","TRB_Ttls","AST_Ttls","PF_Ttls","PTS_Ttls","Trp.Dbl","Season","MP_Ttls","GS_Ttls","ORB_Ttls","DRB_Ttls","STL_Ttls","BLK_Ttls","TOV_Ttls","X3P_Ttls","X3PA_Ttls","X3P._Ttls","X2P_Ttls","X2PA_Ttls","X2P._Ttls","eFG._Ttls","Rk_PrGs","FG_PrGs","FGA_PrGs","FG._PrGs","FT_PrGs","FTA_PrGs","FT._PrGs","TRB_PrGs","AST_PrGs","PF_PrGs","PTS_PrGs","MP_PrGs","GS_PrGs","ORB_PrGs","DRB_PrGs","STL_PrGs","BLK_PrGs","TOV_PrGs","X3P_PrGs","X3PA_PrGs","X3P._PrGs","X2P_PrGs","X2PA_PrGs","X2P._PrGs","eFG._PrGs"
1933-07-06,1962-11-14,"al ferrari",29,193.04,86.18,"Zephyrs","G-F",NA,"Knee Issues",NA,6,1,7,"placed on disabled list with knee injury",1962,11,14,1933,7,6,1956,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935-09-01,1970-01-24,"guy rodgers",34,182.88,83.91,"Bucks","G",NA,"Leg Issues",NA,11,0,11,"placed on IL with torn leg muscle",1970,1,24,1935,9,1,1959,1970,140,64,68,191,0.356,67,90,0.744,74,213,73,203,0,1970,749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,1.1,3,0.356,1,1.4,0.744,1.2,3.3,1.1,3.2,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-07-07,1972-11-04,"rick roberson",25,205.74,104.78,"Cavaliers","C-F",NA,"Leg Issues",NA,2,4,6,"placed on IL with pulled hamstring",1972,11,4,1947,7,7,1970,1976,75,62,307,709,0.433,167,290,0.576,693,134,249,781,0,1973,2127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,5,11.4,0.433,2.7,4.7,0.576,11.2,2.2,4,12.6,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-09-26,1974-03-27,"lucius allen",26,187.96,79.38,"Bucks","G",NA,"Knee Issues",NA,4,5,9,"placed on IL with torn cartilage in knee (out for season)",1974,3,27,1947,9,26,1970,1979,38,72,526,1062,0.495,216,274,0.788,291,374,215,1268,0,1974,2388,NA,89,202,137,22,NA,NA,NA,NA,NA,NA,NA,NA,35,7.3,14.8,0.495,3,3.8,0.788,4,5.2,3,17.6,33.2,NA,1.2,2.8,1.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA
1947-04-16,1974-10-16,"kareem abdul-jabbar",27,218.44,102.06,"Bucks","C","Fractures","Hand Issues",NA,4,15,19,"placed on IL with fractured right hand and lacerated left eye",1974,10,16,1947,4,16,1970,1989,4,65,812,1584,0.513,325,426,0.763,912,264,205,1949,1,1975,2747,NA,194,718,65,212,NA,NA,NA,NA,NA,NA,NA,NA,3,12.5,24.4,0.513,5,6.6,0.763,14,4.1,3.2,30,42.3,NA,3,11,1,3.3,NA,NA,NA,NA,NA,NA,NA,NA
1949-12-25,1974-11-07,"bernie fryer",24,190.5,83.91,"Spirits (ABA)","G",NA,"Leg Issues",NA,0,1,1,"placed on IL with torn thigh muscle",1974,11,7,1949,12,25,1974,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-08-30,1974-11-21,"ted mcclain",28,185.42,81.65,"Colonels (ABA)","G",NA,"Leg Issues",NA,2,5,7,"placed on IR with torn calf muscle",1974,11,21,1946,8,30,1972,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-07-11,1974-12-05,"lou hudson",30,195.58,95.25,"Hawks","F-G","Inflammation","Elbow Issues",NA,7,5,12,"placed on IL with right elbow inflammation",1974,12,5,1944,7,11,1967,1979,172,11,97,225,0.431,48,57,0.842,47,40,33,242,0,1975,380,NA,14,33,13,2,NA,NA,NA,NA,NA,NA,NA,NA,10,8.8,20.5,0.431,4.4,5.2,0.842,4.3,3.6,3,22,34.5,NA,1.3,3,1.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA
1951-01-14,1976-01-17,"ron behagen",25,205.74,83.91,"Jazz","F-C","Fractures",NA,NA,2,4,6,"placed on IL with hairline fracture below left eye (date approximate)",1976,1,17,1951,1,14,1974,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944-10-12,1976-12-15,"jack marin",32,200.66,90.72,"Bulls","F-G",NA,"Hip Issues",NA,9,1,10,"placed on IL recovering from surgery to remove benign tumor in groin area",1976,12,15,1944,10,12,1967,1977,194,54,167,359,0.465,31,39,0.795,91,62,85,365,0,1977,869,7,27,64,13,6,NA,NA,NA,NA,NA,NA,NA,NA,172,3.1,6.6,0.465,0.6,0.7,0.795,1.7,1.1,1.6,6.8,16.1,7,0.5,1.2,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA
